,Name,Genre
783,Big Beach Sports,4
784,Big Brain Academy,4
785,Big Brain Academy: Wii Degree,4
786,Big Family Games,4
787,Big Ichigeki! Pachi-Slot Taikouryku Universal Museum,1
788,Big Idea's VeggieTales: LarryBoy and the Bad Apple,11
789,Big League Sports,11
790,Big League Sports: Summer,11
791,Big Mountain 2000,7
792,Big Mutha Truckers,7
793,Big Mutha Truckers 2,11
794,Big Strike Bowling,7
795,Bigfoot King of Crush,7
796,Bigfoot: Collision Course,7
797,Biker Mice From Mars,5
798,Billy Hatcher and the Giant Egg,7
